SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
COCCn1c(SCC(=O)NC(c2ccc3c(c2)OCCO3)C(C)C)nnc1c1ccccc1,-8.57,-9.72,-9.82,-5.39,-5.2,-8.02,-1.49,-1.59,-6.84,-7.42,-6.78,-7.54,-7.37,-4.82,-5.09,-8.31,-7.71,-9.51
CC(=O)Nc1ccc(cc1)CNc1cccc(c1)CS(=O)(=O)C,-5.31,-8.91,-8.92,-5.82,-6.3,-7.36,-3.45,-3.21,-7.2,-8.1,-7.89,-6.83,-7.88,-5.77,-5.5,-8.07,-8.03,-8.14
CCC(NC(=O)CCNC(=O)NCc1ccccc1)C,-4.21,-7.34,-7.21,-4.33,-4.79,-5.95,-1.95,-1.83,-6.43,-6.05,-6.41,-5.13,-5.92,-4.18,-4.47,-6.54,-6.41,-8.2
NC(=O)C1CCCN(C1)C(=O)CCCOCCc1ccccc1,-4.41,-7.92,-7.44,-4.62,-4.64,-6.44,-1.65,-1.79,-5.8,-6.36,-6.62,-6.04,-6.28,-4.57,-4.8,-6.48,-7.19,-7.46
N#CCSCCCN1CCCN(CC1)CC1CCCCC1,-5.32,-6.41,-6.61,-4.25,-4.07,-5.37,-1.36,-1.31,-5.33,-4.34,-3.57,-4.15,-6.43,-4.2,-4.48,-7.43,-6.59,-7.38
CN1CCN(CC1)C(=O)c1cccc(c1)COc1ccc(nc1)C,-5.42,-8.42,-8.35,-5.34,-5.39,-7.37,-2.81,-2.94,-6.39,-6.74,-6.74,-6.38,-8.26,-5.43,-5.41,-7.88,-7.84,-8.6
CCn1c(C)cc(c1C)C(=O)Cn1cnc2c(c1=O)scc2,-4.62,-8.09,-7.95,-5.09,-5.19,-7.17,-2.53,-2.62,-6.73,-6.74,-7.04,-6.54,-6.57,-4.9,-5.67,-7.82,-7.48,-8.6
Clc1cnn(c(=O)c1Cl)Cc1ncc(o1)c1cccs1,-6.83,-7.74,-7.72,-5.3,-5.1,-6.7,-3.07,-3.06,-6.13,-6.25,-6.7,-6.07,-6.33,-4.49,-5.56,-7.41,-7.12,-7.8
O=C(c1ccc2c(c1)cccn2)N1CCCC(C1)Cc1nccn1C,-8.39,-9.65,-8.72,-5.98,-5.85,-7.65,-3.14,-3.04,-7.56,-6.7,-7.38,-7.44,-8.2,-5.76,-5.83,-7.65,-7.87,-9.27
CCCC(c1ccc(cc1Cl)Cl)CNC(=O)CSc1nnnn1C,-4.84,-7.99,-8.37,-4.75,-4.87,-6.8,-2.25,-2.44,-6.28,-6.71,-6.39,-6.69,-6.65,-5.66,-5.34,-6.99,-7.25,-8.32
O=C(C(S(=O)(=O)Cc1cc(C)ccc1C)C)NC1CCCC(C1C)C,-5.59,-9.49,-10.93,-5.82,-6.07,-7.4,-2.65,-2.98,-7.16,-7.35,-8.17,-7.49,-7.68,-5.5,-5.69,-7.68,-8.52,-9.43
O=C(c1ccc(cc1)Oc1ccc(cn1)C(F)(F)F)NC1CCSc2c1cccc2,-5.62,-9.44,-8.99,-5.83,-6.32,-8.19,-2.57,-3.17,-7.65,-7.64,-7.87,-7.5,-8.64,-5.38,-6.41,-9.81,-7.84,-10.1
CCOC(=O)C(C(=O)OCC)NC(=O)c1nn(c(cc1=O)C)c1ccccc1F,-4.15,-8.27,-8.21,-5.81,-4.99,-7.03,-1.74,-1.7,-5.14,-6.49,-6.67,-5.62,-6.73,-4.15,-4.21,-7.08,-7.14,-8.19
Clc1ccc(c(c1)C)OCC(=O)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)[N+](=O)[O-],-4.95,-10.99,-11.17,-5.98,-5.63,-8.63,-3.42,-3.37,-7.85,-9.33,-7.29,-8.32,-8.32,-5.58,-5.7,-8.58,-7.51,-10.23
CN(C(=O)c1nn(c2c1CCC2)c1ccccc1)Cc1cscc1,-5.56,-8.76,-8.2,-5.49,-5.41,-6.68,-3.1,-2.82,-7.5,-7.58,-7.55,-6.74,-7.67,-5.07,-5.5,-7.85,-8.19,-8.84
O=C(c1sc(nc1C)c1nnc[nH]1)NCc1cccnc1N(C)C,-5.31,-8.06,-7.98,-5.44,-5.46,-7.07,-2.91,-2.97,-7.31,-6.63,-6.26,-6.2,-7.82,-4.75,-5.67,-8.57,-7.47,-10.02
O=C(c1n[nH]c(c1[N+](=O)[O-])C)Nc1[nH]nc(n1)c1c(F)cccc1F,-4.55,-7.9,-7.6,-5.84,-5.75,-6.72,-2.31,-1.99,-6.76,-7.42,-7.54,-6.95,-7.07,-5.04,-5.03,-6.3,-6.89,-7.24
